episodes,score,discounted_score
93800,3.8980,0.6003
93900,3.9890,0.6039
94000,3.8800,0.6207
94100,3.7200,0.6312
94200,3.8360,0.5851
94300,3.6690,0.6249
94400,3.6250,0.5893
94500,3.6000,0.6391
94600,3.7200,0.6312
94700,3.5090,0.6355
94800,3.4580,0.6292
94900,3.8180,0.6055
95000,3.4290,0.6407
95100,3.7380,0.6108
95200,3.6000,0.6391
95300,3.2180,0.6450
95400,3.7090,0.6223
95500,3.6800,0.6339
95600,3.9200,0.6181
95700,3.7380,0.6108
95800,3.7890,0.6171
95900,3.4800,0.6470
96000,4.0690,0.5987
96100,3.4980,0.6265
96200,3.5890,0.6302
96300,3.4070,0.6229
96400,3.3600,0.6549
96500,3.6180,0.6187
96600,3.7960,0.5877
96700,3.6000,0.6391
96800,3.7090,0.6223
96900,3.8800,0.6207
97000,3.4180,0.6318
97100,3.5090,0.6355
97200,3.5890,0.6302
97300,3.4690,0.6381
97400,3.6800,0.6339
97500,3.5490,0.6328
97600,3.7890,0.6171
97700,3.4870,0.6176
97800,3.5600,0.6417
97900,3.8580,0.6029
98000,3.6290,0.6276
98100,3.3160,0.6192
98200,3.0870,0.6439
98300,3.6800,0.6339
98400,3.5890,0.6302
98500,3.6980,0.6134
98600,3.4290,0.6407
98700,3.2180,0.6450
98800,3.4580,0.6292
98900,3.5780,0.6213
99000,3.5380,0.6239
99100,3.5780,0.6213
99200,3.3490,0.6460
99300,3.5200,0.6444
99400,3.4800,0.6470
99500,3.6690,0.6249
99600,3.7600,0.6286
99700,3.4470,0.6203
99800,3.4800,0.6470
99900,3.3380,0.6371
100000,3.0980,0.6528
100100,3.5780,0.6213
100200,3.6400,0.6365
100300,3.4180,0.6318
100400,3.4580,0.6292
100500,3.3270,0.6282
100600,3.3600,0.6549
100700,3.0400,0.6759
100800,3.3490,0.6460
100900,3.1890,0.6565
101000,3.5600,0.6417
101100,3.1780,0.6476
101200,3.6580,0.6160
101300,3.4000,0.6523
101400,3.2980,0.6397
101500,3.2690,0.6512
101600,3.5200,0.6444
101700,2.9670,0.6518
101800,3.3600,0.6549
101900,3.2580,0.6423
102000,3.5200,0.6444
102100,3.4800,0.6470
102200,3.4400,0.6496
102300,3.2690,0.6512
102400,3.6980,0.6134
102500,3.3560,0.6166
102600,3.5890,0.6302
102700,3.2180,0.6450
102800,3.3200,0.6575
102900,3.2180,0.6450
103000,3.1780,0.6476
103100,3.6690,0.6249
103200,3.5380,0.6239
103300,3.3490,0.6460
103400,3.2690,0.6512
103500,3.4000,0.6523
103600,3.0690,0.6644
103700,2.9380,0.6634
103800,3.3780,0.6344
103900,3.1600,0.6680
104000,3.6580,0.6160
104100,3.7200,0.6312
104200,3.2290,0.6539
104300,3.2800,0.6601
104400,3.0290,0.6670
104500,3.3890,0.6433
104600,3.5380,0.6239
104700,2.9780,0.6607
104800,3.0800,0.6733
104900,3.1380,0.6502
105000,3.4580,0.6292
105100,2.9090,0.6749
105200,2.9490,0.6723
105300,3.3600,0.6549
105400,3.0690,0.6644
105500,3.4400,0.6496
105600,3.1670,0.6387
105700,3.0870,0.6439
105800,3.1890,0.6565
105900,3.5380,0.6239
106000,3.4690,0.6381
106100,3.0690,0.6644
106200,3.5890,0.6302
106300,3.5490,0.6328
106400,2.9670,0.6518
106500,3.0760,0.6350
106600,3.0690,0.6644
106700,3.0180,0.6581
106800,3.1560,0.6298
106900,2.8690,0.6775
107000,3.1780,0.6476
